,Avg. Word Length,%de,%dh,%men,%mhn,%ge,%toi
"E=""A""",6.176570282,0.95%,0.25%,0.53%,0.12%,0.33%,0.12%
"E=""BO",5.735269869,1.03%,0.17%,0.57%,0.11%,0.21%,0.13%
"E=""M""",5.665623423,1.10%,0.23%,0.58%,0.15%,0.21%,0.14%
"E=""TH""",5.58335504,1.26%,0.27%,0.48%,0.24%,0.24%,0.10%
"E=""T""",5.728723404,1.12%,0.21%,0.50%,0.18%,0.16%,0.08%
"G=""F""",6.196269276,1.16%,0.21%,0.59%,0.11%,0.17%,0.11%
"G=""M""",5.954555904,1.19%,0.27%,0.64%,0.10%,0.34%,0.11%
"N=""xoros""",6.646220159,1.13%,0.19%,0.50%,0.08%,0.12%,0.08%
"S=""C""",6.172253531,0.03%,0.22%,0.51%,0.11%,0.28%,0.12%
"S=""G""",6.019754381,1.12%,0.24%,0.48%,0.12%,0.24%,0.15%
"S=""R""",5.736215041,1.53%,0.32%,0.66%,0.33%,0.22%,0.12%
"S=""S""",6.714004569,1.69%,0.33%,0.70%,0.21%,0.26%,0.09%
NonGreeks,5.78198111,0.55%,0.10%,0.26%,0.08%,0.19%,0.09%
Greeks,5.954989141,0.96%,0.22%,0.52%,0.12%,0.27%,0.13%
Full Corpus,6.093644985,1.06%,0.21%,0.54%,0.12%,0.24%,0.12%
